bilet	vopros	order_number	user_count	correct
2	4	13	445	423
2	4	14	364	350
2	4	15	295	275
2	5	1	21111	15671
2	5	2	9523	8711
2	5	3	5782	5431
2	5	4	3950	3765
2	5	5	2806	2682
2	5	6	2081	1987
2	5	7	1576	1514
2	5	8	1209	1175
2	5	9	997	969
2	5	10	787	770
2	5	11	651	633
2	5	12	519	512
2	5	13	431	422
2	5	14	348	344
2	5	15	275	267
2	6	1	20818	14208
2	6	2	9534	7838
2	6	3	5943	5010
2	6	4	4177	3527
2	6	5	3062	2619
2	6	6	2351	1995
2	6	7	1808	1562
2	6	8	1436	1214
2	6	9	1152	991
2	6	10	907	774
2	6	11	743	645
2	6	12	620	531
2	6	13	517	439
2	6	14	423	362
2	6	15	346	303
2	7	1	19187	15397
2	7	2	8428	7904
2	7	3	5064	4835
2	7	4	3432	3290
2	7	5	2390	2314
2	7	6	1782	1705
2	7	7	1329	1283
2	7	8	1024	993
2	7	9	816	784
2	7	10	636	614
2	7	11	501	489
2	7	12	389	383
2	7	13	313	296
2	7	14	259	251
2	7	15	208	197
2	8	1	18894	11881
2	8	2	8335	6997
2	8	3	5094	4468
2	8	4	3484	3095
2	8	5	2489	2226
2	8	6	1869	1680
2	8	7	1382	1236
2	8	8	1098	991
2	8	9	874	789
2	8	10	682	609
2	8	11	545	498
2	8	12	439	404
2	8	13	354	318
2	8	14	291	259
2	8	15	246	224
2	9	1	18625	13731
2	9	2	8203	7118
2	9	3	4948	4426
2	9	4	3370	3011
2	9	5	2366	2150
2	9	6	1746	1589
2	9	7	1303	1173
2	9	8	1030	939
2	9	9	793	730
2	9	10	619	577
2	9	11	496	453
2	9	12	392	355
2	9	13	314	284
2	9	14	263	238
2	9	15	218	199
2	10	1	18819	15099
2	10	2	8663	7911
2	10	3	5222	4861
2	10	4	3551	3362
2	10	5	2478	2344
2	10	6	1841	1738
2	10	7	1359	1286
2	10	8	1020	960
2	10	9	793	754
2	10	10	624	596
2	10	11	487	466
2	10	12	395	380
2	10	13	319	303
2	10	14	265	251
2	10	15	216	206
2	11	1	19290	14435
2	11	2	8680	7573
2	11	3	5255	4687
2	11	4	3609	3259
2	11	5	2532	2297
2	11	6	1829	1676
2	11	7	1394	1297
2	11	8	1067	1001
2	11	9	822	775
2	11	10	640	592
2	11	11	509	474
2	11	12	413	395
2	11	13	330	308
2	11	14	277	258
2	11	15	230	220
2	12	1	20255	15927
2	12	2	9030	8049
2	12	3	5378	4934
2	12	4	3611	3362
2	12	5	2528	2351
2	12	6	1814	1705
2	12	7	1361	1271
2	12	8	1015	954
2	12	9	792	750
2	12	10	624	599
2	12	11	485	459
2	12	12	381	364
2	12	13	309	292
2	12	14	246	237
2	12	15	208	196
2	13	1	22923	15118
2	13	2	8360	7035
2	13	3	4905	4325
2	13	4	3305	2956
2	13	5	2282	2087
2	13	6	1671	1524
2	13	7	1262	1154
2	13	8	943	871
2	13	9	706	663
2	13	10	540	491
2	13	11	439	409
2	13	12	355	337
2	13	13	282	261
2	13	14	239	223
2	13	15	194	187
2	14	1	22275	17113
2	14	2	8149	7245
2	14	3	4641	4227
2	14	4	3045	2837
2	14	5	2059	1923
2	14	6	1514	1424
2	14	7	1123	1058
2	14	8	839	798
2	14	9	654	610
2	14	10	509	475
2	14	11	392	379
2	14	12	324	306
2	14	13	268	253
2	14	14	223	213
2	14	15	178	169
2	15	1	22149	17771
2	15	2	8096	7128
2	15	3	4573	4115
2	15	4	2993	2753
2	15	5	2018	1861
2	15	6	1474	1370
2	15	7	1093	1017
2	15	8	803	757
2	15	9	616	580
2	15	10	490	466
2	15	11	373	355
2	15	12	309	291
2	15	13	246	232
2	15	14	201	189
2	15	15	164	150
2	16	1	19380	15246
2	16	2	8647	7935
2	16	3	4928	4641
2	16	4	3237	3076
2	16	5	2181	2080
2	16	6	1586	1521
2	16	7	1183	1130
2	16	8	865	835
2	16	9	667	639
2	16	10	528	507
2	16	11	409	398
2	16	12	319	312
2	16	13	264	255
2	16	14	208	201
2	16	15	161	157
2	17	1	18340	12414
2	17	2	8328	7570
2	17	3	4893	4595
2	17	4	3299	3119
2	17	5	2285	2187
2	17	6	1659	1594
2	17	7	1241	1189
2	17	8	924	894
2	17	9	706	682
2	17	10	542	528
2	17	11	428	415
2	17	12	341	331
2	17	13	281	270
2	17	14	219	214
2	17	15	164	162
2	18	1	18041	13708
2	18	2	7467	7002
2	18	3	4201	4016
2	18	4	2713	2623
2	18	5	1795	1745
2	18	6	1296	1243
2	18	7	962	922
2	18	8	703	684
2	18	9	533	522
2	18	10	407	396
2	18	11	328	319
2	18	12	263	261
2	18	13	210	205
2	18	14	165	164
2	18	15	133	132
2	19	1	17640	10230
2	19	2	7410	5692
2	19	3	4227	3394
2	19	4	2814	2287
2	19	5	1928	1618
2	19	6	1424	1177
2	19	7	1059	882
2	19	8	770	645
2	19	9	602	512
2	19	10	452	386
2	19	11	359	317
2	19	12	298	257
2	19	13	243	210
2	19	14	187	168
2	19	15	148	135
2	20	1	17409	12631
2	20	2	7284	5808
2	20	3	4080	3398
2	20	4	2626	2210
2	20	5	1766	1470
2	20	6	1279	1085
2	20	7	954	815
2	20	8	711	624
2	20	9	542	476
